"District", "Precinct", "LastName", "LastNameSuffix", "FirstName", "MiddleName", "HouseNumber", "Direction", "StreetName", "Unit", "Address", "City", "zip", "ParcelCode", "Phone", "Email", "Age", "DateofRegistration", "OriginalDateofRegistration", "Party", "Gender", "AbsenteeType", "Congressional", "Senate", "Representative", "County_Forest_District", "2018 General", "2018 Primary", "2017 Consolidated General", "2017 Consolidated Primary", "2016 General", "2016 Primary", "2015 Consolidated General", "2014 General", "2014 Primary", "2013 Consolidated General", "2013 Consolidated Primary", "2012 General", "2012 General Primary", "2011 Consolidated General", "2010 General", "2010 General Primary"
"Taxing District","Precinct003","Doe00009","","Marguerite","J","27W153","","Street00000","","27W153 Street00000","Warrenville","60555","0436407019","(123) 555-1234","","67","2018-05-10","1984-06-25","D","F","","6","21","41","6","Vote by Mail","D-Polling Place","Polling Place","","Early Voting","","","Polling Place","","","","Polling Place","","","Polling Place",""
"Taxing District","Precinct003","Doe00009","","Mary","","27W153","","Street00000","","27W153 Street00000","Warrenville","60555","0436407019","(123) 555-1234","","43","2019-09-28","2016-08-28","NA","F","","6","21","41","6","Vote by Mail","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00012","","Michael","","27W154","","Street00000","","27W154 Street00000","Warrenville","60555","0436406020","(123) 555-1234","","34","2013-12-21","2018-12-19","R","M","","6","21","41","6","Polling Place","","","","Polling Place","R-Polling Place","","","","","","","","","",""
"Taxing District","Precinct003","Doe00013","","Kristin","","27W154","","Street00000","","27W154 Street00000","Warrenville","60555","0436406020","(123) 555-1234","","32","2015-12-24","2006-03-10","NA","F","","6","21","41","6","","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00014","","Edwin","E","27W155","","Street00000","","27W155 Street00000","Warrenville","60555","0436407015","(123) 555-1234","","79","2015-02-18","1999-09-08","R","M","","6","21","41","6","","","","","","","Polling Place","Polling Place","R-Polling Place","","","Polling Place","R-Early Voting","Polling Place","Polling Place","R-Polling Place"
"Taxing District","Precinct003","Doe00014","","Kay","K","27W155","","Street00000","","27W155 Street00000","Warrenville","60555","0436407015","(123) 555-1234","","66","2015-08-11","2001-03-07","R","U","","6","21","41","6","Polling Place","","","","Polling Place","","Polling Place","Polling Place","R-Polling Place","","","Polling Place","R-Early Voting","Polling Place","Polling Place","R-Polling Place"
"Taxing District","Precinct003","Doe00016","","Kevin","M","27W156","","Street00000","","27W156 Street00000","Warrenville","60555","0436406015","(123) 555-1234","","31","2018-12-26","2018-12-28","NA","M","","6","21","41","6","","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00016","","Cassandra","","27W156","","Street00000","","27W156 Street00000","Warrenville","60555","0436406015","(123) 555-1234","","30","2014-09-24","2014-12-08","NA","F","","6","21","41","6","","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00018","","Barbara","J","27W157","","Street00000","","27W157 Street00000","Warrenville","60555","0436407016","(123) 555-1234","","52","2017-10-02","2019-06-25","NA","F","","6","21","41","6","Early Voting","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00018","","David","J","27W157","","Street00000","","27W157 Street00000","Warrenville","60555","0436407016","(123) 555-1234","","54","2017-10-08","2006-09-13","NA","M","","6","21","41","6","Early Voting","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00020","","Marc","E","27W158","","Street00000","","27W158 Street00000","Warrenville","60555","0436406014","(123) 555-1234","","53","2014-09-01","1999-05-18","R","M","","6","21","41","6","","","","","","","","Polling Place","R-Polling Place","","","Polling Place","","","Polling Place","R-Polling Place"
"Taxing District","Precinct003","Doe00021","","James","J","27W159","","Street00000","","27W159 Street00000","Warrenville","60555","0436407017","(123) 555-1234","","57","2018-12-28","2006-01-11","D","M","","6","21","41","6","Vote by Mail","","","","Early Voting","D-Early Voting","","Polling Place","","","","Early Voting","","","Polling Place",""
"Taxing District","Precinct003","Doe00021","","M","","27W159","","Street00000","","27W159 Street00000","Warrenville","60555","0436407017","(123) 555-1234","","58","2013-09-28","2011-05-28","D","F","","6","21","41","6","Vote by Mail","","","","Early Voting","D-Early Voting","","Polling Place","","","","Early Voting","","","",""
"Taxing District","Precinct003","Doe00023","","Susan","","27W160","","Street00000","","27W160 Street00000","Warrenville","60555","0436406012","(123) 555-1234","","64","2014-07-20","2018-06-08","NA","F","","6","21","41","6","Polling Place","","","","Polling Place","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00023","","John A","","27W160","","Street00000","","27W160 Street00000","Warrenville","60555","0436406012","(123) 555-1234","","64","2014-12-19","2014-07-07","NA","M","","6","21","41","6","Polling Place","","","","Polling Place","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00025","","Amanda","","27W161","","Street00000","","27W161 Street00000","Warrenville","60555","0436407018","(123) 555-1234","","25","2016-04-12","2013-07-09","NA","F","","6","21","41","6","Polling Place","","","","Early Voting","","","","","","","Early Voting","","","",""
"Taxing District","Precinct003","Doe00025","","Gary","","27W161","","Street00000","","27W161 Street00000","Warrenville","60555","0436407018","(123) 555-1234","","65","2016-01-26","2005-01-15","D","M","","6","21","41","6","Early Voting","","","","Early Voting","","","","","","","Early Voting","","","Polling Place",""
"Taxing District","Precinct003","Doe00025","","Katherine","M","27W161","","Street00000","","27W161 Street00000","Warrenville","60555","0436407018","(123) 555-1234","","60","2017-03-28","2003-09-03","D","F","","6","21","41","6","Early Voting","","","","Early Voting","","","","","","","Early Voting","","","",""
"Taxing District","Precinct003","Doe00028","","Zita","A","27W162","","Street00000","","27W162 Street00000","Warrenville","60555","0436406013","(123) 555-1234","","71","2018-05-07","2003-01-20","R","F","","6","21","41","6","","","","","Early Voting","R-Early Voting","Polling Place","Early Voting","","","","Early Voting","R-Polling Place","Polling Place","Early Voting",""
"Taxing District","Precinct003","Doe00028","","Robert","","27W162","","Street00000","","27W162 Street00000","Warrenville","60555","0436406013","(123) 555-1234","","73","2016-07-05","2009-01-19","R","M","","6","21","41","6","","","","","Early Voting","R-Early Voting","Polling Place","Early Voting","","","","Early Voting","R-Polling Place","Polling Place","Early Voting","R-Polling Place"
"Taxing District","Precinct003","Doe00030","","Craig","M","27W162","","Street00000","","27W162 Street00000","Warrenville","60555","0436406013","(123) 555-1234","","38","2021-02-28","2017-04-28","NA","M","","6","21","41","6","Polling Place","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00030","","Kimberly","J","27W162","","Street00000","","27W162 Street00000","Warrenville","60555","0436406013","(123) 555-1234","","39","2017-12-08","2018-03-02","NA","U","","6","21","41","6","Polling Place","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00032","","Patricia","","3S629","","Street00000","","3S629 Street00000","Warrenville","60555","0436406024","(123) 555-1234","","57","2015-01-17","2011-06-04","NA","F","","6","21","41","6","Polling Place","","","","Polling Place","","","Polling Place","","","","Early Voting","","","",""
"Taxing District","Precinct003","Doe00033","","Steve","","3S631","","Street00000","","3S631 Street00000","Warrenville","60555","0436406025","(123) 555-1234","","51","2019-04-28","1985-07-09","R","M","","6","21","41","6","Polling Place","","","","Polling Place","R-Polling Place","","Polling Place","","","","Polling Place","","","",""
"Taxing District","Precinct003","Doe00034","","Maureen","","3S633","","Street00000","","3S633 Street00000","Warrenville","60555","0436406016","(123) 555-1234","","64","2015-01-01","1986-08-13","R","F","","6","21","41","6","Polling Place","","","","Early Voting","R-Early Voting","Polling Place","Polling Place","R-Polling Place","","","Polling Place","R-Polling Place","","Polling Place",""
"Taxing District","Precinct003","Doe00035","","Suzanne","C","3S635","","Street00000","","3S635 Street00000","Warrenville","60555","0436406017","(123) 555-1234","","71","2019-07-16","1987-06-02","R","F","","6","21","41","6","Vote by Mail","","","","Vote by Mail","","Polling Place","Polling Place","R-Vote by Mail","Polling Place","","Polling Place","","Polling Place","","R-Vote by Mail"
"Taxing District","Precinct003","Doe00035","","R","D","3S635","","Street00000","","3S635 Street00000","Warrenville","60555","0436406017","(123) 555-1234","","72","2018-05-19","1989-06-05","R","M","","6","21","41","6","Vote by Mail","R-Vote by Mail","","","Vote by Mail","","Polling Place","Polling Place","R-Vote by Mail","Polling Place","","Polling Place","","Polling Place","Polling Place","R-Vote by Mail"
"Taxing District","Precinct003","Doe00037","","Scott","","3S637","","Street00000","","3S637 Street00000","Warrenville","60555","0436407013","(123) 555-1234","","37","2017-12-03","2007-12-11","NA","M","","6","21","41","6","","","","","","","","","","","","Polling Place","","","",""
"Taxing District","Precinct003","Doe00038","","Alicia","H","3S637","","Street00000","","3S637 Street00000","Warrenville","60555","0436407013","(123) 555-1234","","37","2018-12-06","2003-06-25","D","F","","6","21","41","6","","","","","","","","","","","","Polling Place","","","Polling Place","D-Early Voting"
"Taxing District","Precinct003","Doe00039","","Jennifer","","3S641","","Street00000","","3S641 Street00000","Warrenville","60555","0436406018","(123) 555-1234","","55","2013-05-03","1996-07-06","D","F","","6","21","41","6","Polling Place","D-Polling Place","","","Polling Place","","","Polling Place","","","","Polling Place","","","Polling Place","D-Polling Place"
"Taxing District","Precinct003","Doe00039","","Jordan","","3S641","","Street00000","","3S641 Street00000","Warrenville","60555","0436406018","(123) 555-1234","","22","2020-01-28","2016-04-26","NA","M","","6","21","41","6","Polling Place","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00041","","Cynthia","L","3S641","","Street00000","","3S641 Street00000","Warrenville","60555","0436406018","(123) 555-1234","","74","2013-01-12","2018-12-01","D","F","","6","21","41","6","Polling Place","D-Polling Place","","","Polling Place","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00042","","Carol","E","3S643","","Street00000","","3S643 Street00000","Warrenville","60555","0436406019","(123) 555-1234","","60","2014-12-28","1981-10-28","R","F","","6","21","41","6","Polling Place","","","","Polling Place","R-Polling Place","","Polling Place","","","","Polling Place","","","Polling Place",""
"Taxing District","Precinct003","Doe00042","","Dale","","3S643","","Street00000","","3S643 Street00000","Warrenville","60555","0436406019","(123) 555-1234","","62","2018-09-28","1978-06-22","R","M","","6","21","41","6","Polling Place","","","","Polling Place","R-Polling Place","","","","","","Polling Place","","","Polling Place",""
"Taxing District","Precinct003","Doe00044","","Ladonna","M","3S644","","Street00000","","3S644 Street00000","Warrenville","60555","0436407025","(123) 555-1234","","46","2019-07-24","1995-07-09","NA","F","","6","21","41","6","Polling Place","","","","Polling Place","","","","","","","Early Voting","","","",""
"Taxing District","Precinct003","Doe00044","","Adam","J","3S644","","Street00000","","3S644 Street00000","Warrenville","60555","0436407025","(123) 555-1234","","39","2014-12-24","1999-10-18","R","M","","6","21","41","6","","","","","","R-Early Voting","","","","","","Early Voting","","","Polling Place",""
"Taxing District","Precinct003","Doe00046","","Melissa","","3S646","","Street00000","","3S646 Street00000","Warrenville","60555","0436407026","(123) 555-1234","","53","2018-11-06","2001-07-19","R","F","","6","21","41","6","Polling Place","R-Polling Place","Polling Place","","Polling Place","","","Early Voting","","","","Polling Place","","","",""
"Taxing District","Precinct003","Doe00047","","Michael","","3S646","","Street00000","","3S646 Street00000","Warrenville","60555","0436407026","(123) 555-1234","","53","2016-02-05","2016-06-05","NA","M","","6","21","41","6","Polling Place","","Vote by Mail","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00048","","John","L","3S660","","Street00000","","3S660 Street00000","Warrenville","60555","0436407029","(123) 555-1234","","56","2014-07-18","2002-07-02","D","M","","6","21","41","6","Polling Place","","","","Polling Place","D-Polling Place","Polling Place","Polling Place","R-Polling Place","","","Polling Place","","","Polling Place",""
"Taxing District","Precinct003","Doe00048","","Madeline M","","3S660","","Street00000","","3S660 Street00000","Warrenville","60555","0436407029","(123) 555-1234","","50","2021-01-25","1993-06-28","R","F","","6","21","41","6","Polling Place","","","","Polling Place","","Polling Place","Polling Place","R-Polling Place","","","Polling Place","","","",""
"Taxing District","Precinct003","Doe00050","","Martha","Elizabeth","3S660","","Street00000","","3S660 Street00000","Warrenville","60555","0436407029","(123) 555-1234","","25","2019-03-12","2014-12-10","NA","F","","6","21","41","6","","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00051","","R","","3S662","","Street00000","","3S662 Street00000","Warrenville","60555","0436407030","(123) 555-1234","","70","2021-01-28","2016-06-23","NA","M","","6","21","41","6","Vote by Mail","","","","Polling Place","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00052","","Michael","J","3S662","","Street00000","","3S662 Street00000","Warrenville","60555","0436407030","(123) 555-1234","","26","2020-06-13","2018-01-11","D","M","","6","21","41","6","","","","","Vote by Mail","D-Polling Place","","","","","","","","","",""
"Taxing District","Precinct003","Doe00053","","Keh","Jean","3S662","","Street00000","Apt E","3S662 Street00000","Warrenville","60555","0436407030","(123) 555-1234","","58","2015-01-23","2002-08-14","NA","F","","6","21","41","6","Vote by Mail","","","","Vote by Mail","","","","","","","Polling Place","","","",""
"Taxing District","Precinct003","Doe00054","","Amy","","3S665","","Street00000","","3S665 Street00000","Warrenville","60555","0436406027","(123) 555-1234","","46","2013-06-15","2013-10-25","R","F","","6","21","41","6","Polling Place","R-Polling Place","","","Early Voting","R-Polling Place","","","","","","","","","",""
"Taxing District","Precinct003","Doe00055","","Elizabeth","","3S667","","Street00000","","3S667 Street00000","Warrenville","60555","0436406026","(123) 555-1234","","78","2015-12-23","2013-12-19","NA","F","","6","21","41","6","","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00056","","Jeff","","3S668","","Street00000","","3S668 Street00000","Warrenville","60555","0436407031","(123) 555-1234","","56","2020-11-15","2019-12-11","NA","M","","6","21","41","6","Vote by Mail","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00056","","Robbin","","3S668","","Street00000","","3S668 Street00000","Warrenville","60555","0436407031","(123) 555-1234","","55","2014-12-14","2020-11-10","NA","F","","6","21","41","6","Vote by Mail","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00056","","Brooke","","3S668","","Street00000","","3S668 Street00000","Warrenville","60555","0436407031","(123) 555-1234","","20","2016-11-22","2014-11-18","NA","F","","6","21","41","6","","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00059","","Robert","","3S669","","Street00000","","3S669 Street00000","Warrenville","60555","0436406029","(123) 555-1234","","42","2021-01-18","2007-01-14","R","M","","6","21","41","6","Polling Place","","","","Polling Place","R-Polling Place","","Polling Place","","","","Polling Place","R-Polling Place","","Polling Place","R-Polling Place"
"Taxing District","Precinct003","Doe00059","","Magdalena","","3S669","","Street00000","","3S669 Street00000","Warrenville","60555","0436406029","(123) 555-1234","","40","2021-05-28","2007-09-05","NA","F","","6","21","41","6","","","","","","","","","","","","Polling Place","","","",""
"Taxing District","Precinct003","Doe00061","","Eriq","","3S670","","Street00000","","3S670 Street00000","Warrenville","60555","0436407032","(123) 555-1234","","33","2016-09-02","2019-11-23","NA","M","","6","21","41","6","","","","","Polling Place","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00062","","Kaitlin","","3S670","","Street00000","","3S670 Street00000","Warrenville","60555","0436407032","(123) 555-1234","","33","2020-11-01","2018-08-07","NA","F","","6","21","41","6","","","","","Polling Place","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00063","","Kathleen","","3S671","","Street00000","","3S671 Street00000","Warrenville","60555","0436406028","(123) 555-1234","","55","2019-08-10","1989-07-01","R","F","","6","21","41","6","","","","","Provisional","","","","","","","Polling Place","","","",""
"Taxing District","Precinct003","Doe00063","","Rachel","L","3S671","","Street00000","","3S671 Street00000","Warrenville","60555","0436406028","(123) 555-1234","","21","2014-09-06","2015-12-06","NA","F","","6","21","41","6","","","","","Provisional","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00063","","Peter","M","3S671","","Street00000","","3S671 Street00000","Warrenville","60555","0436406028","(123) 555-1234","","57","2013-11-24","1989-06-09","D","M","","6","21","41","6","Polling Place","","","","Provisional","","","","","","","Polling Place","","","Polling Place",""
"Taxing District","Precinct003","Doe00066","","Robert","G","3S671","","Street00000","","3S671 Street00000","Warrenville","60555","0436406028","(123) 555-1234","","85","2020-03-17","1979-06-05","R","M","","6","21","41","6","","","","","","","","","","","","Polling Place","R-Polling Place","Polling Place","Polling Place","R-Polling Place"
"Taxing District","Precinct003","Doe00066","","Robert","G","3S671","","Street00000","","3S671 Street00000","Warrenville","60555","0436406028","(123) 555-1234","","44","2016-02-18","1999-01-06","NA","M","","6","21","41","6","","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00068","","Deborah","","3S691","","Street00000","","3S691 Street00000","Warrenville","60555","0436406031","(123) 555-1234","","32","2015-07-16","2019-12-02","NA","F","","6","21","41","6","Polling Place","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00069","","Pauli","","3S691","","Street00000","","3S691 Street00000","Warrenville","60555","0436406031","(123) 555-1234","","64","2021-07-16","1995-01-10","R","F","","6","21","41","6","Polling Place","","","","Polling Place","","","Polling Place","","","","Polling Place","R-Polling Place","Polling Place","Polling Place","R-Polling Place"
"Taxing District","Precinct003","Doe00070","","Janice","M","27W167","","Street00070","","27W167 Street00070","Warrenville","60555","0436401084","(123) 555-1234","","69","2018-06-25","1983-03-22","R","F","","6","21","41","6","Vote by Mail","R-Early Voting","","","Early Voting","","","Polling Place","","","","Polling Place","","","Polling Place",""
"Taxing District","Precinct003","Doe00070","","Peter","R","27W167","","Street00070","","27W167 Street00070","Warrenville","60555","0436401084","(123) 555-1234","","69","2019-07-21","1978-11-02","R","M","","6","21","41","6","","R-Polling Place","","","Polling Place","R-Polling Place","","Polling Place","R-Polling Place","","","Polling Place","","","Polling Place",""
"Taxing District","Precinct003","Doe00072","","Huy","","27W168","","Street00070","","27W168 Street00070","Warrenville","60555","0436407024","(123) 555-1234","","52","2014-12-07","2009-07-11","R","M","","6","21","41","6","Polling Place","","","","","R-Polling Place","","","","","","Polling Place","","","",""
"Taxing District","Precinct003","Doe00072","","Cody","","27W168","","Street00070","","27W168 Street00070","Warrenville","60555","0436407024","(123) 555-1234","","22","2018-01-18","2020-06-17","NA","M","","6","21","41","6","","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00072","","Amy","Ip","27W168","","Street00070","","27W168 Street00070","Warrenville","60555","0436407024","(123) 555-1234","","52","2016-12-24","2009-10-12","D","F","","6","21","41","6","Vote by Mail","","","","Polling Place","D-Polling Place","","","","","","Polling Place","","","",""
"Taxing District","Precinct003","Doe00075","","Trisha","","27W169","","Street00070","","27W169 Street00070","Warrenville","60555","0436401085","(123) 555-1234","","42","2015-12-02","2018-08-04","NA","F","","6","21","41","6","","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00076","","Steven","","27W169","","Street00070","","27W169 Street00070","Warrenville","60555","0436401085","(123) 555-1234","","57","2019-02-26","2019-08-01","NA","M","","6","21","41","6","","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00077","","Kathleen","","27W170","","Street00070","","27W170 Street00070","Warrenville","60555","0436407023","(123) 555-1234","","69","2016-02-07","2015-08-21","R","F","","6","21","41","6","Vote by Mail","R-Early Voting","Early Voting","","Early Voting","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00077","","Robert","","27W170","","Street00070","","27W170 Street00070","Warrenville","60555","0436407023","(123) 555-1234","","70","2016-04-02","2018-08-17","R","M","","6","21","41","6","Vote by Mail","R-Early Voting","Early Voting","R-Early Voting","Early Voting","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00079","","Richard","S","27W171","","Street00070","","27W171 Street00070","Warrenville","60555","0436401074","(123) 555-1234","","66","2014-11-02","1989-07-03","NA","M","","6","21","41","6","","","","","","","","","","","","Polling Place","","","",""
"Taxing District","Precinct003","Doe00080","","James","","27W173","","Street00070","","27W173 Street00070","Warrenville","60555","0436401075","(123) 555-1234","","57","2019-11-17","1995-02-06","R","M","","6","21","41","6","Polling Place","","","","Polling Place","R-Polling Place","Polling Place","","R-Polling Place","","","Polling Place","R-Polling Place","","Polling Place","R-Polling Place"
"Taxing District","Precinct003","Doe00080","","Cynthia","R","27W173","","Street00070","","27W173 Street00070","Warrenville","60555","0436401075","(123) 555-1234","","64","2016-09-21","1998-09-07","R","F","","6","21","41","6","Early Voting","","","","Polling Place","R-Polling Place","Polling Place","","R-Polling Place","","","Polling Place","R-Polling Place","","Polling Place","R-Polling Place"
"Taxing District","Precinct003","Doe00082","","Joanne","R","27W175","","Street00070","","27W175 Street00070","Warrenville","60555","0436401068","(123) 555-1234","","40","2020-02-26","2011-03-17","NA","F","","6","21","41","6","Vote by Mail","","","","","","","Polling Place","","","","Polling Place","","","",""
"Taxing District","Precinct003","Doe00083","","Shawn","","27W175","","Street00070","","27W175 Street00070","Warrenville","60555","0436401068","(123) 555-1234","","45","2015-01-05","2013-04-08","NA","M","","6","21","41","6","Vote by Mail","","","","","","","Early Voting","","","","Polling Place","","","",""
"Taxing District","Precinct003","Doe00084","","Mark","","27W177","","Street00070","","27W177 Street00070","Warrenville","60555","0436401068","(123) 555-1234","","55","2020-08-25","1985-07-28","NA","M","","6","21","41","6","Polling Place","","","","Polling Place","","","","","","","Polling Place","","","",""
"Taxing District","Precinct003","Doe00084","","Maureen","A","27W177","","Street00070","","27W177 Street00070","Warrenville","60555","0436401068","(123) 555-1234","","56","2020-11-28","1991-11-12","R","F","","6","21","41","6","Polling Place","","","","Polling Place","","","Polling Place","","","","Polling Place","","","",""
"Taxing District","Precinct003","Doe00086","","Rebecca","","27W177","","Street00070","","27W177 Street00070","Warrenville","60555","0436401068","(123) 555-1234","","26","2016-05-28","2021-07-07","NA","F","","6","21","41","6","","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00086","","Kathleen","","27W177","","Street00070","","27W177 Street00070","Warrenville","60555","0436401068","(123) 555-1234","","22","2015-12-07","2021-10-03","NA","U","","6","21","41","6","Polling Place","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00088","","Naomi","H","27W178","","Street00070","","27W178 Street00070","Warrenville","60555","0436401070","(123) 555-1234","","70","2013-09-18","2019-08-17","NA","F","","6","21","41","6","Early Voting","","Polling Place","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00089","","Jonathan","R","27W178","","Street00070","","27W178 Street00070","Warrenville","60555","0436401070","(123) 555-1234","","70","2018-12-12","2015-08-12","NA","M","","6","21","41","6","Early Voting","","Polling Place","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00090","","Kimberly","","27W179","","Street00070","","27W179 Street00070","Warrenville","60555","0436401067","(123) 555-1234","","61","2013-04-28","1990-04-20","R","F","","6","21","41","6","Polling Place","","","","Polling Place","R-Polling Place","","Polling Place","","","","Early Voting","","","Polling Place",""
"Taxing District","Precinct003","Doe00091","","John","G","27W179","","Street00070","","27W179 Street00070","Warrenville","60555","0436401067","(123) 555-1234","","58","2014-09-17","1985-12-04","R","M","","6","21","41","6","Polling Place","","Polling Place","","Polling Place","R-Polling Place","","Polling Place","","","","Early Voting","","","Polling Place",""
"Taxing District","Precinct003","Doe00092","","Daniel","M","27W180","","Street00070","","27W180 Street00070","Warrenville","60555","0436401071","(123) 555-1234","","21","2014-05-18","2014-02-16","NA","M","","6","21","41","6","","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00093","","Elizabeth","","27W180","","Street00070","","27W180 Street00070","Warrenville","60555","0436401071","(123) 555-1234","","45","2020-09-03","2015-12-04","NA","U","","6","21","41","6","Polling Place","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00094","","Brinsley","","27W181","","Street00070","","27W181 Street00070","Warrenville","60555","0436401066","(123) 555-1234","","64","2020-07-13","1989-01-23","R","M","","6","21","41","6","Polling Place","R-Polling Place","","","","","","","","","","","","","Polling Place",""
"Taxing District","Precinct003","Doe00094","","Betty","C","27W181","","Street00070","","27W181 Street00070","Warrenville","60555","0436401066","(123) 555-1234","","66","2016-08-24","1983-07-20","R","F","","6","21","41","6","Polling Place","R-Polling Place","","","","","","","","","","","","","Polling Place","R-Early Voting"
"Taxing District","Precinct003","Doe00096","","Michael","","27W182","","Street00070","","27W182 Street00070","Warrenville","60555","0436401063","(123) 555-1234","","56","2017-02-09","1996-06-26","R","M","","6","21","41","6","Polling Place","","","","Polling Place","","","Polling Place","R-Polling Place","","","Polling Place","","Polling Place","Polling Place","R-Polling Place"
